StudyHours,SleepHours,ScreenTime,StressLevel,PhysicalActivity,Burnout
2,8,3,2,5,Low
3,7,4,3,4,Low
5,6,6,6,2,Medium
6,5,7,7,1,High
4,6,5,5,3,Medium
7,4,8,8,1,High
3,7,3,2,4,Low
8,4,9,9,1,High
5,5,6,6,2,Medium
6,6,7,7,2,High
2,8,2,1,5,Low
4,7,4,3,4,Low
7,5,8,8,1,High
5,6,6,5,3,Medium
3,7,3,2,4,Low
6,5,7,7,2,High
4,6,5,4,3,Medium
2,8,3,2,5,Low
7,4,8,9,1,High
5,6,6,6,2,Medium
3,8,3,2,5,Low
6,5,7,8,2,High
4,6,5,5,3,Medium
2,7,3,2,4,Low
8,4,9,9,1,High
5,5,6,6,2,Medium
3,7,4,3,4,Low
7,5,8,8,1,High
4,6,5,4,3,Medium
2,8,2,1,5,Low
6,5,7,7,2,High
5,6,6,5,3,Medium
3,7,3,2,4,Low
7,4,8,9,1,High
4,6,5,5,3,Medium
2,8,3,2,5,Low
6,5,7,7,2,High
5,6,6,6,2,Medium
3,7,4,3,4,Low
8,4,9,9,1,High
